sensor,image,method,active_fg_pct,interior_active_pct,components_per_10k_active,small_component_pct,largest_component_px
C,C/roll/png/00002369_C_roll_10.png,Canny,32.372034334478926,0.0,174.8897322802339,70.96774193548387,3622.0
C,C/roll/png/00002379_C_roll_05.png,Sauvola,51.45999089179994,22.887113147140738,121.81472708815951,67.09401709401709,20499.0
C,C/roll/png/00002379_C_roll_05.png,Canny,32.86720780090546,0.0,196.83755807319258,79.08902691511388,7531.0
C,C/roll/png/00002381_C_roll_09.png,Sauvola,47.60209997423345,19.621773402347845,201.6306370310227,71.30872483221476,1852.0
C,C/roll/png/00002381_C_roll_09.png,Canny,30.71695439319763,0.0,294.6419209394988,79.1814946619217,2768.0
C,C/roll/png/00002405_C_roll_05.png,Sauvola,50.997642045794585,23.784824089938272,170.8639425446523,66.8956043956044,6315.0
C,C/roll/png/00002405_C_roll_05.png,Canny,31.160903443570685,0.0,262.34923561496504,70.5710102489019,2919.0
C,C/roll/png/00002423_C_roll_09.png,Sauvola,48.99726941747573,14.836372643115887,151.70748320381435,60.816326530612244,2193.0
C,C/roll/png/00002423_C_roll_09.png,Canny,36.509405339805824,0.0,248.88851954959074,67.2787979966611,1976.0
C,C/roll/png/00002424_C_roll_08.png,Sauvola,49.19602550379299,24.738074403424545,160.11162878698295,66.76514032496307,7131.0
C,C/roll/png/00002424_C_roll_08.png,Canny,27.706287522688136,0.0,257.42241632721624,73.4094616639478,1428.0
C,C/roll/png/00002433_C_roll_07.png,Sauvola,52.2271471447596,23.808798903942762,95.14385751255898,61.0,8619.0
C,C/roll/png/00002433_C_roll_07.png,Canny,34.19431138319652,0.0,151.13203708547678,67.11538461538461,3719.0
C,C/roll/png/00002434_C_roll_08.png,Sauvola,47.14137149014547,21.69359982989581,179.93833723155433,63.66322008862629,4084.0
C,C/roll/png/00002434_C_roll_08.png,Canny,29.819197854932277,0.0,304.2144627925543,72.79005524861878,659.0
C,C/roll/png/00002500_C_roll_01.png,Sauvola,47.787169972376674,19.60404882405478,158.77741391287088,62.8125,3628.0
C,C/roll/png/00002500_C_roll_01.png,Canny,28.97604002418523,0.0,289.2680332228632,74.68175388967468,2799.0
C,C/roll/png/00002558_C_roll_04.png,Sauvola,40.555997759500016,21.6071817983572,337.28283782801486,73.49137931034483,845.0
C,C/roll/png/00002558_C_roll_04.png,Canny,18.32493145838861,0.0,493.88674388674383,85.50488599348535,296.0
C,C/roll/png/00002564_C_roll_08.png,Sauvola,52.09176325354914,26.640774142584426,104.66723717990916,69.81132075471699,3291.0
C,C/roll/png/00002564_C_roll_08.png,Canny,31.349015842534804,0.0,230.8028877707285,69.66824644549763,1344.0
C,C/roll/png/00002571_C_roll_02.png,Sauvola,53.78838785735338,28.389514750361634,64.21777056941218,55.972696245733786,12050.0
C,C/roll/png/00002571_C_roll_02.png,Canny,33.67403477748305,0.0,120.78140316482286,66.66666666666667,5608.0
C,C/roll/png/00002591_C_roll_05.png,Sauvola,46.639739974188615,19.35946707660774,196.771714066103,74.21875,3152.0
C,C/roll/png/00002591_C_roll_05.png,Canny,29.111897136848143,0.0,346.441178885149,81.27962085308057,1163.0
C,C/roll/png/00002615_C_roll_04.png,Sauvola,59.59431270530127,32.94306980486824,17.903842285254477,67.41573033707866,46564.0
C,C/roll/png/00002615_C_roll_04.png,Canny,35.03488623012923,0.0,114.63180947166713,67.76119402985074,8525.0
C,C/roll/png/00002625_C_roll_05.png,Sauvola,55.864627790765006,28.418688574938574,35.127457002457,68.85245901639344,38862.0
C,C/roll/png/00002625_C_roll_05.png,Canny,34.822098783966375,0.0,133.03359714224123,74.07407407407408,14438.0
C,C/roll/png/00002650_C_roll_03.png,Sauvola,54.858434891426455,30.588174300749152,55.2142468310133,60.563380281690144,13320.0
C,C/roll/png/00002650_C_roll_03.png,Canny,35.08340325080702,0.0,143.48830610838638,75.14124293785311,6084.0
C,C/roll/png/00002651_C_roll_04.png,Sauvola,46.527472527472526,20.752637379940168,161.12948092163964,69.38110749185668,5762.0
C,C/roll/png/00002651_C_roll_04.png,Canny,23.931623931623932,0.0,280.6122448979592,71.81818181818181,1400.0
D,D/roll/png/00002303_D_roll_07.png,Sauvola,67.47525930488095,43.170832901151336,86.81672025723472,56.98924731182796,21666.0
D,D/roll/png/00002303_D_roll_07.png,Canny,38.25884296132473,0.0,635.8730449099058,86.88147295742232,472.0
D,D/roll/png/00002327_D_roll_08.png,Sauvola,68.20590413846807,43.7142644984035,44.55335263978614,62.291666666666664,60519.0
D,D/roll/png/00002327_D_roll_08.png,Canny,37.240514823654536,0.0,543.8256493948048,84.52641450453267,349.0
D,D/roll/png/00002339_D_roll_06.png,Sauvola,67.03987788108545,42.60215842907011,55.79548555245058,51.09612141652614,34203.0
D,D/roll/png/00002339_D_roll_06.png,Canny,38.24037745846317,0.0,469.78094484032727,80.40730337078652,401.0
D,D/roll/png/00002358_D_roll_10.png,Sauvola,63.53840628046591,35.80614552208673,75.91052249051118,64.62765957446808,29543.0
D,D/roll/png/00002358_D_roll_10.png,Canny,41.41374621581405,0.0,502.5631494989856,84.09861325115563,1179.0
D,D/roll/png/00002364_D_roll_03.png,Sauvola,66.37141338344192,40.687484284343945,48.05498384197733,49.224806201550386,21808.0
D,D/roll/png/00002364_D_roll_03.png,Canny,39.08469421814541,0.0,492.15587044534414,82.26221079691517,422.0
D,D/roll/png/00002371_D_roll_01.png,Sauvola,66.76913969742427,40.33670169358332,69.41575909003899,46.44412191582003,5892.0
D,D/roll/png/00002371_D_roll_01.png,Canny,39.59315740261138,0.0,538.5843895477251,82.93375394321767,320.0
D,D/roll/png/00002371_D_roll_08.png,Sauvola,64.81557497214567,36.20012666244458,26.2372206640731,58.62068965517241,68980.0
D,D/roll/png/00002371_D_roll_08.png,Canny,40.94704744033308,0.0,358.60054133787787,77.35623003194888,629.0
D,D/roll/png/00002374_D_roll_07.png,Sauvola,72.0448093104929,47.17838780266506,28.909961038267895,53.53846153846154,30919.0
D,D/roll/png/00002374_D_roll_07.png,Canny,35.471901255455364,0.0,426.19692863595304,79.1437049597287,450.0
D,D/roll/png/00002394_D_roll_10.png,Sauvola,63.92174031002972,37.379301031186394,59.71041893755969,55.088852988691436,61688.0
D,D/roll/png/00002394_D_roll_10.png,Canny,40.56962103367904,0.0,531.6513412873319,84.19096626643797,704.0
D,D/roll/png/00002396_D_roll_04.png,Sauvola,62.055170014575246,35.38309861877652,72.10585835935008,64.47721179624665,41960.0
D,D/roll/png/00002396_D_roll_04.png,Canny,40.89406853365803,0.0,504.994206427199,83.00900377577693,562.0
D,D/roll/png/00002423_D_roll_04.png,Sauvola,68.52752165409332,40.09622441490663,32.34662534996874,57.42296918767507,78649.0
D,D/roll/png/00002423_D_roll_04.png,Canny,39.38344043960138,0.0,405.6504122719891,79.44034201321415,490.0
D,D/roll/png/00002445_D_roll_04.png,Sauvola,66.04861565960468,38.55179380717152,51.2516334720433,45.20795660036166,13325.0
D,D/roll/png/00002445_D_roll_04.png,Canny,39.95213114352699,0.0,472.6737861400095,80.87520259319287,379.0
D,D/roll/png/00002466_D_roll_01.png,Sauvola,68.28435961706883,40.70938923532794,28.835522533280262,46.93251533742331,52563.0
D,D/roll/png/00002466_D_roll_01.png,Canny,38.81436293902697,0.0,409.87815694878856,77.75246772968869,355.0
D,D/roll/png/00002466_D_roll_05.png,Sauvola,66.91085158665152,41.833259292166446,75.42326867071425,64.00523560209425,18612.0
D,D/roll/png/00002466_D_roll_05.png,Canny,38.72896134436019,0.0,585.18531152462,84.8440687846109,347.0
D,D/roll/png/00002518_D_roll_09.png,Sauvola,65.5086632585793,41.27442231378282,50.980689995632936,62.56983240223464,37898.0
D,D/roll/png/00002518_D_roll_09.png,Canny,38.780675895866764,0.0,508.5235017720545,82.27688426363923,507.0
D,D/roll/png/00002521_D_roll_02.png,Sauvola,67.87057694303206,45.973760403627296,52.36452590037362,63.503649635036496,44275.0
D,D/roll/png/00002521_D_roll_02.png,Canny,36.525241257652795,0.0,495.39231875565974,82.90322580645162,385.0
D,D/roll/png/00002531_D_roll_07.png,Sauvola,46.42645964865432,41.585045193097784,29.90961380443714,53.2967032967033,85524.0
D,D/roll/png/00002531_D_roll_07.png,Canny,0.29412325710034903,0.0,168.61219195849546,15.384615384615385,100.0
D,D/roll/png/00002544_D_roll_09.png,Sauvola,46.584320068359375,40.38225323048199,30.134787664390178,35.59782608695652,14595.0
D,D/roll/png/00002544_D_roll_09.png,Canny,7.2483062744140625,0.0,155.78127466975423,35.810810810810814,385.0
D,D/roll/png/00002615_D_roll_07.png,Sauvola,41.90957956136435,40.562362322270566,38.868357334013,47.7751756440281,9540.0
D,D/roll/png/00002615_D_roll_07.png,Canny,0.15641034444609755,0.0,170.73170731707316,57.142857142857146,205.0
D,D/roll/png/00002616_D_roll_07.png,Sauvola,40.73963614673427,34.963584487742615,68.79528475428914,53.20600272851296,9665.0
D,D/roll/png/00002616_D_roll_07.png,Canny,0.13191401500378536,0.0,115.94202898550724,50.0,208.0
E,E/roll/png/00002326_E_roll_04.png,Sauvola,48.27002694354998,20.891052040434293,297.1307988155611,81.78694158075601,5910.0
E,E/roll/png/00002326_E_roll_04.png,Canny,28.54701978050864,0.0,383.28729281767954,79.42942942942943,725.0
E,E/roll/png/00002354_E_roll_02.png,Sauvola,54.49968176032006,32.04312735917916,83.00139725970261,60.552763819095475,16220.0
E,E/roll/png/00002354_E_roll_02.png,Canny,29.753136933988,0.0,158.91206356482544,65.86538461538461,8762.0
E,E/roll/png/00002367_E_roll_10.png,Sauvola,46.5037459864431,19.179133103183737,372.07518220176445,79.89690721649484,1392.0
E,E/roll/png/00002367_E_roll_10.png,Canny,33.2798192412891,0.0,550.2948007861354,88.63636363636364,455.0
E,E/roll/png/00002376_E_roll_09.png,Sauvola,47.87608519390116,27.69367397096181,218.30273239843862,75.59129612109744,4665.0
E,E/roll/png/00002376_E_roll_09.png,Canny,26.598374433919354,0.0,285.8736059479554,77.6332899869961,2196.0
E,E/roll/png/00002391_E_roll_07.png,Sauvola,46.0518432719575,16.00607111882047,617.5195143104944,86.79775280898876,491.0
E,E/roll/png/00002391_E_roll_07.png,Canny,23.137756120941006,0.0,844.9853271189365,96.73135852911133,110.0
E,E/roll/png/00002395_E_roll_06.png,Sauvola,51.99315949252979,17.7817440081591,142.78429372768994,69.82142857142857,13238.0
E,E/roll/png/00002395_E_roll_06.png,Canny,38.996195299139636,0.0,200.5711177590427,72.03389830508475,3143.0
E,E/roll/png/00002407_E_roll_06.png,Sauvola,58.25298270302871,30.376436857893758,57.07611032944862,64.4186046511628,55368.0
E,E/roll/png/00002407_E_roll_06.png,Canny,35.45917775595574,0.0,136.28731546697486,67.52,4703.0
E,E/roll/png/00002433_E_roll_01.png,Sauvola,54.15340832698427,20.627728467092876,164.07009703515195,70.49180327868852,5753.0
E,E/roll/png/00002433_E_roll_01.png,Canny,35.61488818177744,0.0,284.70758486173594,77.23756906077348,2435.0
E,E/roll/png/00002510_E_roll_06.png,Sauvola,51.80069386909693,20.4148444333375,214.66949893789828,76.0186263096624,11767.0
E,E/roll/png/00002510_E_roll_06.png,Canny,30.260977630488814,0.0,287.90212183436,78.90044576523032,3242.0
E,E/roll/png/00002533_E_roll_01.png,Sauvola,52.90681773783942,23.49259683196101,189.97156888084777,63.654033041788146,4924.0
E,E/roll/png/00002533_E_roll_01.png,Canny,34.9081851924204,0.0,404.60001678838245,78.4923928077455,693.0
E,E/roll/png/00002554_E_roll_07.png,Sauvola,44.227267208935295,20.872906944825694,534.7241284655504,84.39425051334702,802.0
E,E/roll/png/00002554_E_roll_07.png,Canny,19.094330460118975,0.0,531.5361139369278,87.5598086124402,140.0
E,E/roll/png/00002555_E_roll_07.png,Sauvola,50.80767669739665,22.438033505272287,86.95850641347513,68.24146981627297,21391.0
E,E/roll/png/00002555_E_roll_07.png,Canny,32.16443439438743,0.0,163.68028265493746,68.06167400881057,2338.0
E,E/roll/png/00002556_E_roll_06.png,Sauvola,54.041575307809076,22.430070612101588,124.44895252213944,78.36990595611286,26881.0
E,E/roll/png/00002556_E_roll_06.png,Canny,37.31341710237814,0.0,157.07545837217845,74.82014388489209,4119.0
E,E/roll/png/00002573_E_roll_08.png,Sauvola,51.486945936870384,24.96688066850097,89.26933659431366,69.40639269406392,18511.0
E,E/roll/png/00002573_E_roll_08.png,Canny,32.84398085963734,0.0,214.0643471037413,74.92537313432835,5125.0
E,E/roll/png/00002575_E_roll_10.png,Sauvola,49.93476357991049,21.795931867041507,189.846204729618,68.6411149825784,2605.0
E,E/roll/png/00002575_E_roll_10.png,Canny,31.199524352177576,0.0,347.2553067598327,76.21951219512195,759.0
E,E/roll/png/00002582_E_roll_03.png,Sauvola,48.50598039639017,15.970089464548003,523.4343704099346,84.6938775510204,556.0
E,E/roll/png/00002582_E_roll_03.png,Canny,27.283129668811263,0.0,705.8637334810477,91.70403587443946,250.0
E,E/roll/png/00002602_E_roll_10.png,Sauvola,45.349914425235916,19.47233571082335,460.4944255937955,81.57894736842105,1058.0
E,E/roll/png/00002602_E_roll_10.png,Canny,23.43335374566238,0.0,591.6644331278478,90.26047565118913,517.0
E,E/roll/png/00002604_E_roll_05.png,Sauvola,48.11374330683109,26.36371300902116,200.23606778517834,80.21052631578948,5902.0
E,E/roll/png/00002604_E_roll_05.png,Canny,28.3567256206393,0.0,293.2551319648094,73.17073170731707,1071.0
E,E/roll/png/00002621_E_roll_10.png,Sauvola,50.68844621513944,21.064545540289874,222.90690728456002,77.99717912552892,2995.0
E,E/roll/png/00002621_E_roll_10.png,Canny,26.302788844621514,0.0,373.82611329900027,77.14748784440843,398.0
E,E/roll/png/00002650_E_roll_05.png,Sauvola,53.24174659530497,29.33389733509169,84.10261514344721,59.171597633136095,7742.0
E,E/roll/png/00002650_E_roll_05.png,Canny,31.668962959037678,0.0,173.60384856724536,71.08433734939759,2785.0
F,F/roll/png/00002334_F_roll_06.png,Sauvola,50.6301595229002,36.27567598932343,23.06487176511547,37.735849056603776,5762.0
F,F/roll/png/00002334_F_roll_06.png,Canny,27.778430623696348,0.0,85.92882449368092,40.61538461538461,1936.0
F,F/roll/png/00002334_F_roll_10.png,Sauvola,48.60266985022791,39.32897895383241,46.707233108170975,48.20717131474104,8739.0
F,F/roll/png/00002334_F_roll_10.png,Canny,21.700672889081833,0.0,196.29907476869218,52.653927813163484,542.0
F,F/roll/png/00002364_F_roll_09.png,Sauvola,49.48465138688141,39.02672253420728,35.989359667576544,52.17391304347826,7610.0
F,F/roll/png/00002364_F_roll_09.png,Canny,22.106648771422673,0.0,172.79626386456508,48.42342342342342,1825.0
F,F/roll/png/00002369_F_roll_02.png,Sauvola,50.04990752429322,40.465436841950904,23.02255330380972,38.853503184713375,7802.0
F,F/roll/png/00002369_F_roll_02.png,Canny,25.320729237002027,0.0,113.04347826086956,43.07692307692308,1550.0
F,F/roll/png/00002369_F_roll_09.png,Sauvola,49.16554464003723,34.31155439100668,36.00709999154763,42.25352112676056,5135.0
F,F/roll/png/00002369_F_roll_09.png,Canny,25.441746039661563,0.0,182.28741302146287,48.2078853046595,475.0
F,F/roll/png/00002376_F_roll_06.png,Sauvola,50.28660367785198,39.68176054321594,29.451466437599706,41.2037037037037,9547.0
F,F/roll/png/00002376_F_roll_06.png,Canny,24.67602813927019,0.0,161.71607991330686,47.766323024054984,1175.0
F,F/roll/png/00002402_F_roll_08.png,Sauvola,49.34330334970476,39.41452776379802,34.94939327853268,33.6,8419.0
